Trial,Trial Notes,ID,Type,Topic,Title,ExpectedDifficulty,Min,Max,Clarity,Date,OfficalAnswer,Wording,Link
1,Base Case,QID1,Binary,Politics,2012President,1,0,1,A,2012.11.06,1,"In the United States, following the 2012 November elections, was Barack Obama elected US President?","http://en.wikipedia.org/wiki/United_States_presidential_election,_2012"
1,Base Case,QID2,Binary,Politics,2012President,1,0,1,A,2012.11.06,0,"In the United States, following the 2012 November elections, was Mitt Romney elected US President?","http://en.wikipedia.org/wiki/United_States_presidential_election,_2013"
1,Base Case,QID3,Binary,Politics,2012DemSenate,4,0,1,A,2012.11.06,1,"In the United States, following the 2012 November elections, did the Democratic Party control 51 or more Senate seats?",
1,Base Case,QID4,Binary,Politics,2012RepubHouse,4,0,1,A,2012.11.06,1,"In the United States, following the 2012 November elections, did the Republican Party control 218 or more seats in the House of Representatives?","http://en.wikipedia.org/wiki/United_States_House_of_Representatives_elections,_2012"
1,Base Case,QID5,Scaled,Politics,2012RepubHouseSCL,6,0,435,A,2012.11.06,242,"In the United States, following the 2012 November elections, how many seats in the House of Representatives were controlled by the Republican Party? Range: 0 to 435","http://en.wikipedia.org/wiki/United_States_House_of_Representatives_elections,_2012"
1,Base Case,QID6,Binary,Sports,2012SuperBowlPatriots,4,0,1,A,2012.02.05,0,"During the 2011-2012 United States football season, did the New England Patriots (AFC) win the 2012 Super Bowl (XLVI)?",http://en.wikipedia.org/wiki/Super_Bowl_XLVI
1,Base Case,QID7,Binary,Sports,2014SuperBowlBroncos,4,0,1,A,2014.02.02,0,"During the 2013-2014 United States football season, did the Denver Broncos (AFC) win the 2014 Super Bowl (XLVIII)?",
1,Base Case,QID8,Binary,Finance,DJIA20140627,4,0,1,A,2014.06.27,1,"On June 27th, 2014, was the closing price of the Dow Jones Industrial Average (INDEXDJX:.DJI) above 16000?",
1,Base Case,QID9,Binary,Finance,GLD20140627,4,0,1,A,2014.06.27,1,"On June 27th, 2014, was the closing price of the SPDR Gold Trust (ETF) (NYSEARCA:GLD) above 120?",
1,Base Case,QID10,Scaled,Finance,DJIA20140709,6,8000,20000,A,2014.07.09,16985.61,"On July 9th, 2014, what was the closing price of the Dow Jones Industrial Average (INDEXDJX:.DJI, USD per Share, 2 decimal points)? Range: 8000 to 20000",
2,Past,QID1,Binary,Politics,2008President,,,,,2008.11.04,,,
2,Past,QID2,Binary,Politics,2008President,,,,,2008.11.04,,,
2,Past,QID3,Binary,Politics,2008DemSenate,,,,,2008.11.04,,,
2,Past,QID4,Binary,Politics,2008RepubHouse,,,,,2008.11.04,,,
2,Past,QID5,Scaled,Politics,2008RepubHouseSCL,,,,,2008.11.04,,,
2,Past,QID6,Binary,Sports,2008SuperBowlPatriots,,,,,2008.02.05,,,
2,Past,QID7,Binary,Sports,2010SuperBowlBroncos,,,,,2010.02.02,,,
2,Past,QID8,Binary,Finance,DJIA20100627,,,,,2010.06.27,,,
2,Past,QID9,Binary,Finance,GLD20100627,,,,,2010.06.27,,,
2,Past,QID10,Scaled,Finance,DJIA20100709,,,,,2010.07.09,,,
3,LongPast,QID1,,,,,,,,,,,
3,LongPast,QID2,,,,,,,,,,,
3,LongPast,QID3,,,,,,,,,,,
3,LongPast,QID4,,,,,,,,,,,
3,LongPast,QID5,,,,,,,,,,,
3,LongPast,QID6,,,,,,,,,,,
3,LongPast,QID7,,,,,,,,,,,
3,LongPast,QID8,,,,,,,,,,,
3,LongPast,QID9,,,,,,,,,,,
3,LongPast,QID10,,,,,,,,,,,
4,LowClarity,QID1,,,,,,,,,,,
4,LowClarity,QID2,,,,,,,,,,,
4,LowClarity,QID3,,,,,,,,,,,
4,LowClarity,QID4,,,,,,,,,,,
4,LowClarity,QID5,,,,,,,,,,,
4,LowClarity,QID6,,,,,,,,,,,
4,LowClarity,QID7,,,,,,,,,,,
4,LowClarity,QID8,,,,,,,,,,,
4,LowClarity,QID9,,,,,,,,,,,
4,LowClarity,QID10,,,,,,,,,,,
5,AmbiguousI,QID1,,,,,,,,,,,
5,AmbiguousI,QID2,,,,,,,,,,,
5,AmbiguousI,QID3,,,,,,,,,,,
5,AmbiguousI,QID4,,,,,,,,,,,
5,AmbiguousI,QID5,,,,,,,,,,,
5,AmbiguousI,QID6,,,,,,,,,,,
5,AmbiguousI,QID7,,,,,,,,,,,
5,AmbiguousI,QID8,,,,,,,,,,,
5,AmbiguousI,QID9,,,,,,,,,,,
5,AmbiguousI,QID10,,,,,,,,,,,
6,Ambiguous.II,QID1,,,,,,,,,,,
6,Ambiguous.II,QID2,,,,,,,,,,,
6,Ambiguous.II,QID3,,,,,,,,,,,
6,Ambiguous.II,QID4,,,,,,,,,,,
6,Ambiguous.II,QID5,,,,,,,,,,,
6,Ambiguous.II,QID6,,,,,,,,,,,
6,Ambiguous.II,QID7,,,,,,,,,,,
6,Ambiguous.II,QID8,,,,,,,,,,,
6,Ambiguous.II,QID9,,,,,,,,,,,
6,Ambiguous.II,QID10,,,,,,,,,,,
7,UnclearAndAmbiguous,QID1,,,,,,,,,,,
7,UnclearAndAmbiguous,QID2,,,,,,,,,,,
7,UnclearAndAmbiguous,QID3,,,,,,,,,,,
7,UnclearAndAmbiguous,QID4,,,,,,,,,,,
7,UnclearAndAmbiguous,QID5,,,,,,,,,,,
7,UnclearAndAmbiguous,QID6,,,,,,,,,,,
7,UnclearAndAmbiguous,QID7,,,,,,,,,,,
7,UnclearAndAmbiguous,QID8,,,,,,,,,,,
7,UnclearAndAmbiguous,QID9,,,,,,,,,,,
7,UnclearAndAmbiguous,QID10,,,,,,,,,,,
